nombre,estado,municipio,ciudad,cp,lat,lon
Calle Doctor José G. Parres,Morelos,Jiutepec,,62550,18.8854611,-99.1747613
Boulevard Paseo Cuauhnáhuac,Morelos,Cuernavaca,Cuernavaca,62398,18.9173354,-99.18699
Camino al Hotel Sumiya,Morelos,Jiutepec,,62564,18.89124065,-99.19210741767819
Calle Calvario,Morelos,Cuernavaca,Cuernavaca,62460,18.9055197,-99.20433968831233
Libramiento de Cuernavaca,Morelos,Cuernavaca,Cuernavaca,62360,18.9329021,-99.2003256
Calle Paseo de los Sauces,Morelos,Jiutepec,,62050,18.8830874,-99.21213968158575
Avenida Río Mayo,Morelos,Cuernavaca,Cuernavaca,62290,18.9340793,-99.2112261
Calle Rufino Tamayo,Morelos,Cuernavaca,,62448,18.9107699,-99.2215491
Avenida Río Mayo,Morelos,Cuernavaca,Cuernavaca,62290,18.9343077,-99.2131627
Calle Pino,Morelos,Jiutepec,,62550,18.8925197,-99.1712154
Calle Doctor José G. Parres,Morelos,Jiutepec,,62550,18.8854611,-99.1747613
Boulevard Paseo Cuauhnáhuac,Morelos,Cuernavaca,Cuernavaca,62398,18.9173354,-99.18699
Camino al Hotel Sumiya,Morelos,Jiutepec,,62564,18.89124065,-99.19210741767819
Calle Calvario,Morelos,Cuernavaca,Cuernavaca,62460,18.9055197,-99.20433968831233
Libramiento de Cuernavaca,Morelos,Cuernavaca,Cuernavaca,62360,18.9329021,-99.2003256
Calle Paseo de los Sauces,Morelos,Jiutepec,,62050,18.8830874,-99.21213968158575
Avenida Río Mayo,Morelos,Cuernavaca,Cuernavaca,62290,18.9340793,-99.2112261
Calle Rufino Tamayo,Morelos,Cuernavaca,,62448,18.9107699,-99.2215491
Avenida Río Mayo,Morelos,Cuernavaca,Cuernavaca,62290,18.9343077,-99.2131627
Calle Pino,Morelos,Jiutepec,,62550,18.8925197,-99.1712154
Calle Doctor José G. Parres,Morelos,Jiutepec,,62550,18.8854611,-99.1747613
Boulevard Paseo Cuauhnáhuac,Morelos,Cuernavaca,Cuernavaca,62398,18.9173354,-99.18699
Camino al Hotel Sumiya,Morelos,Jiutepec,,62564,18.89124065,-99.19210741767819
Calle Calvario,Morelos,Cuernavaca,Cuernavaca,62460,18.9055197,-99.20433968831233
Libramiento de Cuernavaca,Morelos,Cuernavaca,Cuernavaca,62360,18.9329021,-99.2003256
Calle Paseo de los Sauces,Morelos,Jiutepec,,62050,18.8830874,-99.21213968158575
Avenida Río Mayo,Morelos,Cuernavaca,Cuernavaca,62290,18.9340793,-99.2112261
Calle Rufino Tamayo,Morelos,Cuernavaca,,62448,18.9107699,-99.2215491
Avenida Río Mayo,Morelos,Cuernavaca,Cuernavaca,62290,18.9343077,-99.2131627
Calle Ayuntamiento de 1829,Morelos,Cuautla,Cuautla,62740,18.8151977,-98.9517233
Calle Ejército Americano,Morelos,Cuautla,Cuautla,62740,18.8119708,-98.9513926
Calle Coronel Garduño,Morelos,Cuautla,Cuautla,62740,18.8107465,-98.9560945
Calle Mariano Antonio y Máximo Bravo,Morelos,Cuautla,Cuautla,62740,18.8102422,-98.9516824
Avenida General Gabriel Tepepa,Morelos,Cuautla,Cuautla,62740,18.8243493,-98.94551305238983
Carretera México-Oaxaca,Morelos,Cuautla,Cuautla,72743,18.8014757,-98.9276385
Carretera México-Oaxaca,Morelos,Cuautla,Cuautla,72743,18.7983409,-98.9212936
Calle Sor Juana Inés de la Cruz,Morelos,Cuautla,Cuautla,72743,18.7996089,-98.9153632
Carretera México-Oaxaca,Morelos,Cuautla,Cuautla,72743,18.7957278,-98.9170382
Libramiento Cuautla,Morelos,Cuautla,Cuautla,62748,18.8631439,-98.9475403
Avenida José Vasconcelos,Nuevo León,San Pedro Garza García,,66260,25.6536373,-100.339122
Avenida Lázaro Cárdenas,Nuevo León,San Pedro Garza García,,66260,25.6515576,-100.3352248
Vía Rómulo,Nuevo León,San Pedro Garza García,,66220,25.6616227,-100.3558058
Avenida Diego Rivera,Nuevo León,San Pedro Garza García,,66200,25.6503699,-100.3348448
Avenida Lázaro Cárdenas,Nuevo León,San Pedro Garza García,,66269,25.6460933,-100.32346523758733
Avenida Lázaro Cárdenas,Nuevo León,San Pedro Garza García,,66269,25.6461014,-100.3234826
Avenida Lázaro Cárdenas,Nuevo León,San Pedro Garza García,Monterrey,66260,25.6521815,-100.3330501
Avenida Diego Rivera,Nuevo León,San Pedro Garza García,,66260,25.6498464,-100.33405
Avenida Lázaro Cárdenas,Nuevo León,San Pedro Garza García,Monterrey,66260,25.651881,-100.3324473
Avenida Lázaro Cárdenas,Nuevo León,San Pedro Garza García,,66260,25.6503523,-100.3329254
Avenida Las Torres,Nuevo León,San Nicolás de los Garza,San Nicolás de los Garza,66422,25.7595917,-100.30403768278454
Libramiento de Montemorelos,Nuevo León,Montemorelos,,67500,25.1894679,-99.8556898
Calle Valles,Nuevo León,Montemorelos,,67510,25.1899011,-99.8451782
Avenida Universidad,Nuevo León,San Nicolás de los Garza,Monterrey,64650,25.7442927,-100.302161
Calle Primero de Enero,Nuevo León,San Nicolás de los Garza,San Nicolás de los Garza,66458,25.744405,-100.30260567478882
Avenida Capitán Alonso de León,Nuevo León,Montemorelos,,67530,25.1865735,-99.8345017
Avenida Universidad,Nuevo León,San Nicolás de los Garza,San Nicolás de los Garza,66450,25.74153145,-100.30159024494479
Avenida Universidad,Nuevo León,San Nicolás de los Garza,San Nicolás de los Garza,66450,25.7414816,-100.3017484
18 de Diciembre,Nuevo León,San Nicolás de los Garza,Monterrey,66450,25.7416763,-100.302961
Avenida Universidad,Nuevo León,San Nicolás de los Garza,San Nicolás de los Garza,66450,25.74120715,-100.30149162609973
Calle Mariano Escobedo,Nuevo León,Monterrey,Monterrey,64000,25.6666486,-100.3121804
Calle Melchor Ocampo,Nuevo León,Monterrey,Monterrey,64000,25.6660599,-100.3122635
Calle Melchor Ocampo,Nuevo León,Monterrey,Monterrey,64000,25.6657001,-100.3120415
Calle Corregidora,Nuevo León,Monterrey,Monterrey,64000,25.6666788,-100.311757
Peatonal José María Morelos Y Pavón,Nuevo León,Monterrey,Monterrey,64010,25.66685105,-100.31118364936475
Calle Ignacio Zaragoza,Nuevo León,Monterrey,Monterrey,64000,25.6668408,-100.3110378
Calle Miguel Hidalgo y Costilla,Nuevo León,Monterrey,Monterrey,64000,25.6663511,-100.313727
Avenida Constitución,Nuevo León,Monterrey,Monterrey,64000,25.664894,-100.3141059
Ignacio Allende,Nuevo León,Monterrey,Monterrey,64010,25.6701237,-100.3142585
